;v0.3.135e1_chain8_Inc_Ligne_8Summ
Global Max size of {Accept Request} sent (min) ;10;
Global Max size of {Accept Request} sent (max) ;10;
Nb of {Accept Request} sent (avg) ;98.0;
Nb of {Accept Request} sent (stddev) ;0.0;
Nb of {Accept Request} sent (min) ;98;
Nb of {Accept Request} sent (max) ;98;
Total size of {Accept Request} sent (avg) ;980.0;
Total size of {Accept Request} sent (stddev) ;0.0;
Total size of {Accept Request} sent (min) ;980;
Total size of {Accept Request} sent (max) ;980;
Global Max size of {Deny} sent (avg) ;58.0;
Global Max size of {Deny} sent (stddev) ;0.0;
Global Max size of {Deny} sent (min) ;58;
Global Max size of {Deny} sent (max) ;58;
Nb of {Deny} sent (avg) ;224.0;
Nb of {Deny} sent (stddev) ;0.0;
Nb of {Deny} sent (min) ;224;
Nb of {Deny} sent (max) ;224;
Total size of {Deny} sent (avg) ;6685.0;
Total size of {Deny} sent (stddev) ;0.0;
Total size of {Deny} sent (min) ;6685;
Total size of {Deny} sent (max) ;6685;
Global Max size of {Ask other hypothesis} sent (avg) ;7.0;
Global Max size of {Ask other hypothesis} sent (stddev) ;0.0;
Global Max size of {Ask other hypothesis} sent (min) ;7;
Global Max size of {Ask other hypothesis} sent (max) ;7;
Nb of {Ask other hypothesis} sent (avg) ;57.0;
Nb of {Ask other hypothesis} sent (stddev) ;0.0;
Nb of {Ask other hypothesis} sent (min) ;57;
Nb of {Ask other hypothesis} sent (max) ;57;
Total size of {Ask other hypothesis} sent (avg) ;374.0;
Total size of {Ask other hypothesis} sent (stddev) ;0.0;
Total size of {Ask other hypothesis} sent (min) ;374;
Total size of {Ask other hypothesis} sent (max) ;374;
Global Max size of {Argue} sent (avg) ;14.0;
Global Max size of {Argue} sent (stddev) ;0.0;
Global Max size of {Argue} sent (min) ;14;
Global Max size of {Argue} sent (max) ;14;
Nb of {Argue} sent (avg) ;104.0;
Nb of {Argue} sent (stddev) ;0.0;
Nb of {Argue} sent (min) ;104;
Nb of {Argue} sent (max) ;104;
Total size of {Argue} sent (avg) ;1430.0;
Total size of {Argue} sent (stddev) ;0.0;
Total size of {Argue} sent (min) ;1430;
Total size of {Argue} sent (max) ;1430;
Global Max size of {Accept} sent (avg) ;121.0;
Global Max size of {Accept} sent (stddev) ;0.0;
Global Max size of {Accept} sent (min) ;121;
Global Max size of {Accept} sent (max) ;121;
Nb of {Accept} sent (avg) ;98.0;
Nb of {Accept} sent (stddev) ;0.0;
Nb of {Accept} sent (min) ;98;
Nb of {Accept} sent (max) ;98;
Total size of {Accept} sent (avg) ;6345.0;
Total size of {Accept} sent (stddev) ;0.0;
Total size of {Accept} sent (min) ;6345;
Total size of {Accept} sent (max) ;6345;
Global Max size of {Check Context} sent (avg) ;77.0;
Global Max size of {Check Context} sent (stddev) ;0.0;
Global Max size of {Check Context} sent (min) ;77;
Global Max size of {Check Context} sent (max) ;77;
Nb of {Check Context} sent (avg) ;208.0;
Nb of {Check Context} sent (stddev) ;0.0;
Nb of {Check Context} sent (min) ;208;
Nb of {Check Context} sent (max) ;208;
Total size of {Check Context} sent (avg) ;2031.0;
Total size of {Check Context} sent (stddev) ;0.0;
Total size of {Check Context} sent (min) ;2031;
Total size of {Check Context} sent (max) ;2031;
Global Max size of {Coherence counter-example} sent (avg) ;2.0;
Global Max size of {Coherence counter-example} sent (stddev) ;0.0;
Global Max size of {Coherence counter-example} sent (min) ;2;
Global Max size of {Coherence counter-example} sent (max) ;2;
Nb of {Coherence counter-example} sent (avg) ;6.0;
Nb of {Coherence counter-example} sent (stddev) ;0.0;
Nb of {Coherence counter-example} sent (min) ;6;
Nb of {Coherence counter-example} sent (max) ;6;
Total size of {Coherence counter-example} sent (avg) ;13.0;
Total size of {Coherence counter-example} sent (stddev) ;0.0;
Total size of {Coherence counter-example} sent (min) ;13;
Total size of {Coherence counter-example} sent (max) ;13;
Global Max size of {New neighbour} received (avg) ;0.0;
Global Max size of {New neighbour} received (stddev) ;0.0;
Global Max size of {New neighbour} received (min) ;0;
Global Max size of {New neighbour} received (max) ;0;
Nb of {New neighbour} received (avg) ;14.0;
Nb of {New neighbour} received (stddev) ;0.0;
Nb of {New neighbour} received (min) ;14;
Nb of {New neighbour} received (max) ;14;
Total size of {New neighbour} received (avg) ;0.0;
Total size of {New neighbour} received (stddev) ;0.0;
Total size of {New neighbour} received (min) ;0;
Total size of {New neighbour} received (max) ;0;
Global Max size of {Start} received (avg) ;0.0;
Global Max size of {Start} received (stddev) ;0.0;
Global Max size of {Start} received (min) ;0;
Global Max size of {Start} received (max) ;0;
Nb of {Start} received (avg) ;8.0;
Nb of {Start} received (stddev) ;0.0;
Nb of {Start} received (min) ;8;
Nb of {Start} received (max) ;8;
Total size of {Start} received (avg) ;0.0;
Total size of {Start} received (stddev) ;0.0;
Total size of {Start} received (min) ;0;
Total size of {Start} received (max) ;0;
Global Max size of {Launch} received (avg) ;0.0;
Global Max size of {Launch} received (stddev) ;0.0;
Global Max size of {Launch} received (min) ;0;
Global Max size of {Launch} received (max) ;0;
Nb of {Launch} received (avg) ;-6.0;
Nb of {Launch} received (stddev) ;0.0;
Nb of {Launch} received (min) ;-6;
Nb of {Launch} received (max) ;0;
Total size of {Launch} received (avg) ;-7.0;
Total size of {Launch} received (stddev) ;0.0;
Total size of {Launch} received (min) ;-7;
Total size of {Launch} received (max) ;0;
Global Max size of {Accept Request} received (avg) ;10.0;
Global Max size of {Accept Request} received (stddev) ;0.0;
Global Max size of {Accept Request} received (min) ;10;
Global Max size of {Accept Request} received (max) ;10;
Nb of {Accept Request} received (avg) ;97.0;
Nb of {Accept Request} received (stddev) ;0.0;
Nb of {Accept Request} received (min) ;97;
Nb of {Accept Request} received (max) ;97;
Total size of {Accept Request} received (avg) ;979.0;
Total size of {Accept Request} received (stddev) ;0.0;
Total size of {Accept Request} received (min) ;979;
Total size of {Accept Request} received (max) ;979;
Global Max size of {Confirm context} received (avg) ;87.0;
Global Max size of {Confirm context} received (stddev) ;0.0;
Global Max size of {Confirm context} received (min) ;87;
Global Max size of {Confirm context} received (max) ;87;
Nb of {Confirm context} received (avg) ;389.0;
Nb of {Confirm context} received (stddev) ;0.0;
Nb of {Confirm context} received (min) ;389;
Nb of {Confirm context} received (max) ;389;
Total size of {Confirm context} received (avg) ;11771.0;
Total size of {Confirm context} received (stddev) ;0.0;
Total size of {Confirm context} received (min) ;11771;
Total size of {Confirm context} received (max) ;11771;
Global Max size of {Deny} received (avg) ;58.0;
Global Max size of {Deny} received (stddev) ;0.0;
Global Max size of {Deny} received (min) ;58;
Global Max size of {Deny} received (max) ;58;
Nb of {Deny} received (avg) ;224.0;
Nb of {Deny} received (stddev) ;0.0;
Nb of {Deny} received (min) ;224;
Nb of {Deny} received (max) ;224;
Total size of {Deny} received (avg) ;6685.0;
Total size of {Deny} received (stddev) ;0.0;
Total size of {Deny} received (min) ;6685;
Total size of {Deny} received (max) ;6685;
Global Max size of {Propose} received (avg) ;121.0;
Global Max size of {Propose} received (stddev) ;0.0;
Global Max size of {Propose} received (min) ;121;
Global Max size of {Propose} received (max) ;121;
Nb of {Propose} received (avg) ;363.0;
Nb of {Propose} received (stddev) ;0.0;
Nb of {Propose} received (min) ;363;
Nb of {Propose} received (max) ;363;
Total size of {Propose} received (avg) ;13458.0;
Total size of {Propose} received (stddev) ;0.0;
Total size of {Propose} received (min) ;13458;
Total size of {Propose} received (max) ;13458;
Global Max size of {Acknowledge confirmation} received (avg) ;121.0;
Global Max size of {Acknowledge confirmation} received (stddev) ;0.0;
Global Max size of {Acknowledge confirmation} received (min) ;121;
Global Max size of {Acknowledge confirmation} received (max) ;121;
Nb of {Acknowledge confirmation} received (avg) ;295.0;
Nb of {Acknowledge confirmation} received (stddev) ;0.0;
Nb of {Acknowledge confirmation} received (min) ;295;
Nb of {Acknowledge confirmation} received (max) ;295;
Total size of {Acknowledge confirmation} received (avg) ;11151.0;
Total size of {Acknowledge confirmation} received (stddev) ;0.0;
Total size of {Acknowledge confirmation} received (min) ;11151;
Total size of {Acknowledge confirmation} received (max) ;11151;
Global Max size of {Withdraw incomplete} received (avg) ;2.0;
Global Max size of {Withdraw incomplete} received (stddev) ;0.0;
Global Max size of {Withdraw incomplete} received (min) ;2;
Global Max size of {Withdraw incomplete} received (max) ;2;
Nb of {Withdraw incomplete} received (avg) ;6.0;
Nb of {Withdraw incomplete} received (stddev) ;0.0;
Nb of {Withdraw incomplete} received (min) ;6;
Nb of {Withdraw incomplete} received (max) ;6;
Total size of {Withdraw incomplete} received (avg) ;13.0;
Total size of {Withdraw incomplete} received (stddev) ;0.0;
Total size of {Withdraw incomplete} received (min) ;13;
Total size of {Withdraw incomplete} received (max) ;13;
Global Max size of {Ask other hypothesis} received (avg) ;7.0;
Global Max size of {Ask other hypothesis} received (stddev) ;0.0;
Global Max size of {Ask other hypothesis} received (min) ;7;
Global Max size of {Ask other hypothesis} received (max) ;7;
Nb of {Ask other hypothesis} received (avg) ;56.0;
Nb of {Ask other hypothesis} received (stddev) ;0.0;
Nb of {Ask other hypothesis} received (min) ;56;
Nb of {Ask other hypothesis} received (max) ;56;
Total size of {Ask other hypothesis} received (avg) ;373.0;
Total size of {Ask other hypothesis} received (stddev) ;0.0;
Total size of {Ask other hypothesis} received (min) ;373;
Total size of {Ask other hypothesis} received (max) ;373;
Global Max size of {Accept} received (avg) ;121.0;
Global Max size of {Accept} received (stddev) ;0.0;
Global Max size of {Accept} received (min) ;121;
Global Max size of {Accept} received (max) ;121;
Nb of {Accept} received (avg) ;98.0;
Nb of {Accept} received (stddev) ;0.0;
Nb of {Accept} received (min) ;98;
Nb of {Accept} received (max) ;98;
Total size of {Accept} received (avg) ;6345.0;
Total size of {Accept} received (stddev) ;0.0;
Total size of {Accept} received (min) ;6345;
Total size of {Accept} received (max) ;6345;
Global Max size of {End of local conversation} received (avg) ;10.0;
Global Max size of {End of local conversation} received (stddev) ;0.0;
Global Max size of {End of local conversation} received (min) ;10;
Global Max size of {End of local conversation} received (max) ;10;
Nb of {End of local conversation} received (avg) ;196.0;
Nb of {End of local conversation} received (stddev) ;0.0;
Nb of {End of local conversation} received (min) ;196;
Nb of {End of local conversation} received (max) ;196;
Total size of {End of local conversation} received (avg) ;1960.0;
Total size of {End of local conversation} received (stddev) ;0.0;
Total size of {End of local conversation} received (min) ;1960;
Total size of {End of local conversation} received (max) ;1960;
Global Max size of {Request} received (avg) ;18.0;
Global Max size of {Request} received (stddev) ;0.0;
Global Max size of {Request} received (min) ;18;
Global Max size of {Request} received (max) ;18;
Nb of {Request} received (avg) ;98.0;
Nb of {Request} received (stddev) ;0.0;
Nb of {Request} received (min) ;98;
Nb of {Request} received (max) ;98;
Total size of {Request} received (avg) ;1764.0;
Total size of {Request} received (stddev) ;0.0;
Total size of {Request} received (min) ;1764;
Total size of {Request} received (max) ;1764;
Global Max size of {Argue} received (avg) ;14.0;
Global Max size of {Argue} received (stddev) ;0.0;
Global Max size of {Argue} received (min) ;14;
Global Max size of {Argue} received (max) ;14;
Nb of {Argue} received (avg) ;104.0;
Nb of {Argue} received (stddev) ;0.0;
Nb of {Argue} received (min) ;104;
Nb of {Argue} received (max) ;104;
Total size of {Argue} received (avg) ;1430.0;
Total size of {Argue} received (stddev) ;0.0;
Total size of {Argue} received (min) ;1430;
Total size of {Argue} received (max) ;1430;
Global Max size of {Acknowledge} received (avg) ;2.0;
Global Max size of {Acknowledge} received (stddev) ;0.0;
Global Max size of {Acknowledge} received (min) ;2;
Global Max size of {Acknowledge} received (max) ;2;
Nb of {Acknowledge} received (avg) ;246.0;
Nb of {Acknowledge} received (stddev) ;0.0;
Nb of {Acknowledge} received (min) ;246;
Nb of {Acknowledge} received (max) ;246;
Total size of {Acknowledge} received (avg) ;492.0;
Total size of {Acknowledge} received (stddev) ;0.0;
Total size of {Acknowledge} received (min) ;492;
Total size of {Acknowledge} received (max) ;492;
Global Max size of {Check Context} received (avg) ;77.0;
Global Max size of {Check Context} received (stddev) ;0.0;
Global Max size of {Check Context} received (min) ;77;
Global Max size of {Check Context} received (max) ;77;
Nb of {Check Context} received (avg) ;208.0;
Nb of {Check Context} received (stddev) ;0.0;
Nb of {Check Context} received (min) ;208;
Nb of {Check Context} received (max) ;208;
Total size of {Check Context} received (avg) ;2031.0;
Total size of {Check Context} received (stddev) ;0.0;
Total size of {Check Context} received (min) ;2031;
Total size of {Check Context} received (max) ;2031;
Global Max size of {Completeness counter-example} received (avg) ;7.0;
Global Max size of {Completeness counter-example} received (stddev) ;0.0;
Global Max size of {Completeness counter-example} received (min) ;7;
Global Max size of {Completeness counter-example} received (max) ;7;
Nb of {Completeness counter-example} received (avg) ;111.0;
Nb of {Completeness counter-example} received (stddev) ;0.0;
Nb of {Completeness counter-example} received (min) ;111;
Nb of {Completeness counter-example} received (max) ;111;
Total size of {Completeness counter-example} received (avg) ;777.0;
Total size of {Completeness counter-example} received (stddev) ;0.0;
Total size of {Completeness counter-example} received (min) ;777;
Total size of {Completeness counter-example} received (max) ;777;
Global Max size of {Propose again} received (avg) ;32.0;
Global Max size of {Propose again} received (stddev) ;0.0;
Global Max size of {Propose again} received (min) ;32;
Global Max size of {Propose again} received (max) ;32;
Nb of {Propose again} received (avg) ;33.0;
Nb of {Propose again} received (stddev) ;0.0;
Nb of {Propose again} received (min) ;33;
Nb of {Propose again} received (max) ;33;
Total size of {Propose again} received (avg) ;783.0;
Total size of {Propose again} received (stddev) ;0.0;
Total size of {Propose again} received (min) ;783;
Total size of {Propose again} received (max) ;783;
Global Max size of {Withdraw} received (avg) ;2.0;
Global Max size of {Withdraw} received (stddev) ;0.0;
Global Max size of {Withdraw} received (min) ;2;
Global Max size of {Withdraw} received (max) ;2;
Nb of {Withdraw} received (avg) ;6.0;
Nb of {Withdraw} received (stddev) ;0.0;
Nb of {Withdraw} received (min) ;6;
Nb of {Withdraw} received (max) ;6;
Total size of {Withdraw} received (avg) ;13.0;
Total size of {Withdraw} received (stddev) ;0.0;
Total size of {Withdraw} received (min) ;13;
Total size of {Withdraw} received (max) ;13;
Global Max size of {Finish} received (avg) ;0.0;
Global Max size of {Finish} received (stddev) ;0.0;
Global Max size of {Finish} received (min) ;0;
Global Max size of {Finish} received (max) ;0;
Nb of {Finish} received (avg) ;8.0;
Nb of {Finish} received (stddev) ;0.0;
Nb of {Finish} received (min) ;8;
Nb of {Finish} received (max) ;8;
Total size of {Finish} received (avg) ;0.0;
Total size of {Finish} received (stddev) ;0.0;
Total size of {Finish} received (min) ;0;
Total size of {Finish} received (max) ;0;
