;v0.3.136e1_DAREschedule_Inc-CL_DARE_8Summ
Theory redundancy (avg) ;1.0;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;1.0;
Theory redundancy (max) ;1.0;
Manifestation redundancy (avg) ;8.0;
Manifestation redundancy (stddev) ;0.0;
Manifestation redundancy (min) ;8.0;
Manifestation redundancy (max) ;8.0;
Nb external subsumes (clause) (avg) ;11519.0;
Nb external subsumes (clause) (stddev) ;0.0;
Nb external subsumes (clause) (min) ;11519;
Nb external subsumes (clause) (max) ;11519;
Nb external subsumes (literal) (avg) ;25740.0;
Nb external subsumes (literal) (stddev) ;0.0;
Nb external subsumes (literal) (min) ;25740;
Nb external subsumes (literal) (max) ;25740;
Global Max size of solve step (avg) ;39.0;
Global Max size of solve step (stddev) ;0.0;
Global Max size of solve step (min) ;39;
Global Max size of solve step (max) ;39;
Nb of solve step (avg) ;133.0;
Nb of solve step (stddev) ;0.0;
Nb of solve step (min) ;133;
Nb of solve step (max) ;133;
Total size of solve step (avg) ;1074.0;
Total size of solve step (stddev) ;0.0;
Total size of solve step (min) ;1074;
Total size of solve step (max) ;1074;
Global Max size of solve for hyp (avg) ;8.0;
Global Max size of solve for hyp (stddev) ;0.0;
Global Max size of solve for hyp (min) ;8;
Global Max size of solve for hyp (max) ;8;
Nb of solve for hyp (avg) ;8.0;
Nb of solve for hyp (stddev) ;0.0;
Nb of solve for hyp (min) ;8;
Nb of solve for hyp (max) ;8;
Total size of solve for hyp (avg) ;29.0;
Total size of solve for hyp (stddev) ;0.0;
Total size of solve for hyp (min) ;29;
Total size of solve for hyp (max) ;29;
Global Max size of solve for extended hyp (avg) ;39.0;
Global Max size of solve for extended hyp (stddev) ;0.0;
Global Max size of solve for extended hyp (min) ;39;
Global Max size of solve for extended hyp (max) ;39;
Nb of solve for extended hyp (avg) ;8.0;
Nb of solve for extended hyp (stddev) ;0.0;
Nb of solve for extended hyp (min) ;8;
Nb of solve for extended hyp (max) ;8;
Total size of solve for extended hyp (avg) ;102.0;
Total size of solve for extended hyp (stddev) ;0.0;
Total size of solve for extended hyp (min) ;102;
Total size of solve for extended hyp (max) ;102;
Global Max size of solve for own context (avg) ;8.0;
Global Max size of solve for own context (stddev) ;0.0;
Global Max size of solve for own context (min) ;8;
Global Max size of solve for own context (max) ;8;
Nb of solve for own context (avg) ;24.0;
Nb of solve for own context (stddev) ;0.0;
Nb of solve for own context (min) ;24;
Nb of solve for own context (max) ;24;
Total size of solve for own context (avg) ;192.0;
Total size of solve for own context (stddev) ;0.0;
Total size of solve for own context (min) ;192;
Total size of solve for own context (max) ;192;
Global Max size of solve for external context (avg) ;11.0;
Global Max size of solve for external context (stddev) ;0.0;
Global Max size of solve for external context (min) ;11;
Global Max size of solve for external context (max) ;11;
Nb of solve for external context (avg) ;23.0;
Nb of solve for external context (stddev) ;0.0;
Nb of solve for external context (min) ;23;
Nb of solve for external context (max) ;23;
Total size of solve for external context (avg) ;253.0;
Total size of solve for external context (stddev) ;0.0;
Total size of solve for external context (min) ;253;
Total size of solve for external context (max) ;253;
Global Max size of solve for covered manif. (avg) ;16.0;
Global Max size of solve for covered manif. (stddev) ;0.0;
Global Max size of solve for covered manif. (min) ;16;
Global Max size of solve for covered manif. (max) ;16;
Nb of solve for covered manif. (avg) ;16.0;
Nb of solve for covered manif. (stddev) ;0.0;
Nb of solve for covered manif. (min) ;16;
Nb of solve for covered manif. (max) ;16;
Total size of solve for covered manif. (avg) ;256.0;
Total size of solve for covered manif. (stddev) ;0.0;
Total size of solve for covered manif. (min) ;256;
Total size of solve for covered manif. (max) ;256;
Global Max size of solve for prove manif (avg) ;0.0;
Global Max size of solve for prove manif (stddev) ;0.0;
Global Max size of solve for prove manif (min) ;0;
Global Max size of solve for prove manif (max) ;0;
Nb of solve for prove manif (avg) ;0.0;
Nb of solve for prove manif (stddev) ;0.0;
Nb of solve for prove manif (min) ;0;
Nb of solve for prove manif (max) ;0;
Total size of solve for prove manif (avg) ;0.0;
Total size of solve for prove manif (stddev) ;0.0;
Total size of solve for prove manif (min) ;0;
Total size of solve for prove manif (max) ;0;
Global Max size of solve for add manif (avg) ;3.0;
Global Max size of solve for add manif (stddev) ;0.0;
Global Max size of solve for add manif (min) ;3;
Global Max size of solve for add manif (max) ;3;
Nb of solve for add manif (avg) ;7.0;
Nb of solve for add manif (stddev) ;0.0;
Nb of solve for add manif (min) ;7;
Nb of solve for add manif (max) ;7;
Total size of solve for add manif (avg) ;21.0;
Total size of solve for add manif (stddev) ;0.0;
Total size of solve for add manif (min) ;21;
Total size of solve for add manif (max) ;21;
Global Max size of solve for addToTheory (avg) ;0.0;
Global Max size of solve for addToTheory (stddev) ;0.0;
Global Max size of solve for addToTheory (min) ;0;
Global Max size of solve for addToTheory (max) ;0;
Nb of solve for addToTheory (avg) ;0.0;
Nb of solve for addToTheory (stddev) ;0.0;
Nb of solve for addToTheory (min) ;0;
Nb of solve for addToTheory (max) ;0;
Total size of solve for addToTheory (avg) ;0.0;
Total size of solve for addToTheory (stddev) ;0.0;
Total size of solve for addToTheory (min) ;0;
Total size of solve for addToTheory (max) ;0;
Global Max size of solve for hyp (NC) (avg) ;0.0;
Global Max size of solve for hyp (NC) (stddev) ;0.0;
Global Max size of solve for hyp (NC) (min) ;0;
Global Max size of solve for hyp (NC) (max) ;0;
Nb of solve for hyp (NC) (avg) ;0.0;
Nb of solve for hyp (NC) (stddev) ;0.0;
Nb of solve for hyp (NC) (min) ;0;
Nb of solve for hyp (NC) (max) ;0;
Total size of solve for hyp (NC) (avg) ;0.0;
Total size of solve for hyp (NC) (stddev) ;0.0;
Total size of solve for hyp (NC) (min) ;0;
Total size of solve for hyp (NC) (max) ;0;
Global Max size of solve for extended hyp (NC) (avg) ;8.0;
Global Max size of solve for extended hyp (NC) (stddev) ;0.0;
Global Max size of solve for extended hyp (NC) (min) ;8;
Global Max size of solve for extended hyp (NC) (max) ;8;
Nb of solve for extended hyp (NC) (avg) ;24.0;
Nb of solve for extended hyp (NC) (stddev) ;0.0;
Nb of solve for extended hyp (NC) (min) ;24;
Nb of solve for extended hyp (NC) (max) ;24;
Total size of solve for extended hyp (NC) (avg) ;152.0;
Total size of solve for extended hyp (NC) (stddev) ;0.0;
Total size of solve for extended hyp (NC) (min) ;152;
Total size of solve for extended hyp (NC) (max) ;152;
Global Max size of solve for own context (NC) (avg) ;0.0;
Global Max size of solve for own context (NC) (stddev) ;0.0;
Global Max size of solve for own context (NC) (min) ;0;
Global Max size of solve for own context (NC) (max) ;0;
Nb of solve for own context (NC) (avg) ;0.0;
Nb of solve for own context (NC) (stddev) ;0.0;
Nb of solve for own context (NC) (min) ;0;
Nb of solve for own context (NC) (max) ;0;
Total size of solve for own context (NC) (avg) ;0.0;
Total size of solve for own context (NC) (stddev) ;0.0;
Total size of solve for own context (NC) (min) ;0;
Total size of solve for own context (NC) (max) ;0;
Global Max size of solve for external context (NC) (avg) ;3.0;
Global Max size of solve for external context (NC) (stddev) ;0.0;
Global Max size of solve for external context (NC) (min) ;3;
Global Max size of solve for external context (NC) (max) ;3;
Nb of solve for external context (NC) (avg) ;23.0;
Nb of solve for external context (NC) (stddev) ;0.0;
Nb of solve for external context (NC) (min) ;23;
Nb of solve for external context (NC) (max) ;23;
Total size of solve for external context (NC) (avg) ;69.0;
Total size of solve for external context (NC) (stddev) ;0.0;
Total size of solve for external context (NC) (min) ;69;
Total size of solve for external context (NC) (max) ;69;
Global Max size of  sent messages (avg) ;31.0;
Global Max size of  sent messages (stddev) ;0.0;
Global Max size of  sent messages (min) ;31;
Global Max size of  sent messages (max) ;31;
Nb of  sent messages (avg) ;188.0;
Nb of  sent messages (stddev) ;0.0;
Nb of  sent messages (min) ;188;
Nb of  sent messages (max) ;188;
Total size of  sent messages (avg) ;3411.0;
Total size of  sent messages (stddev) ;0.0;
Total size of  sent messages (min) ;3411;
Total size of  sent messages (max) ;3411;
Global Max size of  received messages (avg) ;31.0;
Global Max size of  received messages (stddev) ;0.0;
Global Max size of  received messages (min) ;31;
Global Max size of  received messages (max) ;31;
Nb of  received messages (avg) ;213.0;
Nb of  received messages (stddev) ;0.0;
Nb of  received messages (min) ;213;
Nb of  received messages (max) ;213;
Total size of  received messages (avg) ;3411.0;
Total size of  received messages (stddev) ;0.0;
Total size of  received messages (min) ;3411;
Total size of  received messages (max) ;3411;
Global Max size of  initLocalConv (avg) ;1.0;
Global Max size of  initLocalConv (stddev) ;0.0;
Global Max size of  initLocalConv (min) ;1;
Global Max size of  initLocalConv (max) ;1;
Nb of  initLocalConv (avg) ;8.0;
Nb of  initLocalConv (stddev) ;0.0;
Nb of  initLocalConv (min) ;8;
Nb of  initLocalConv (max) ;8;
Total size of  initLocalConv (avg) ;8.0;
Total size of  initLocalConv (stddev) ;0.0;
Total size of  initLocalConv (min) ;8;
Total size of  initLocalConv (max) ;8;
Global Max size of  acceptLocalConv (avg) ;1.0;
Global Max size of  acceptLocalConv (stddev) ;0.0;
Global Max size of  acceptLocalConv (min) ;1;
Global Max size of  acceptLocalConv (max) ;1;
Nb of  acceptLocalConv (avg) ;8.0;
Nb of  acceptLocalConv (stddev) ;0.0;
Nb of  acceptLocalConv (min) ;8;
Nb of  acceptLocalConv (max) ;8;
Total size of  acceptLocalConv (avg) ;8.0;
Total size of  acceptLocalConv (stddev) ;0.0;
Total size of  acceptLocalConv (min) ;8;
Total size of  acceptLocalConv (max) ;8;
Global Max size of {Started} sent (avg) ;0.0;
Global Max size of {Started} sent (stddev) ;0.0;
Global Max size of {Started} sent (min) ;0;
Global Max size of {Started} sent (max) ;0;
Nb of {Started} sent (avg) ;8.0;
Nb of {Started} sent (stddev) ;0.0;
Nb of {Started} sent (min) ;8;
Nb of {Started} sent (max) ;8;
Total size of {Started} sent (avg) ;0.0;
Total size of {Started} sent (stddev) ;0.0;
Total size of {Started} sent (min) ;0;
Total size of {Started} sent (max) ;0;
Global Max size of {Request} sent (avg) ;18.0;
Global Max size of {Request} sent (stddev) ;0.0;
Global Max size of {Request} sent (min) ;18;
Global Max size of {Request} sent (max) ;18;
Nb of {Request} sent (avg) ;4.0;
Nb of {Request} sent (stddev) ;0.0;
Nb of {Request} sent (min) ;4;
Nb of {Request} sent (max) ;4;
Total size of {Request} sent (avg) ;140.0;
Total size of {Request} sent (stddev) ;0.0;
Total size of {Request} sent (min) ;140;
Total size of {Request} sent (max) ;140;
Global Max size of {Propose} sent (avg) ;31.0;
Global Max size of {Propose} sent (stddev) ;0.0;
Global Max size of {Propose} sent (min) ;31;
Global Max size of {Propose} sent (max) ;31;
Nb of {Propose} sent (avg) ;22.0;
Nb of {Propose} sent (stddev) ;0.0;
Nb of {Propose} sent (min) ;22;
Nb of {Propose} sent (max) ;22;
Total size of {Propose} sent (avg) ;507.0;
Total size of {Propose} sent (stddev) ;0.0;
Total size of {Propose} sent (min) ;507;
Total size of {Propose} sent (max) ;507;
Global Max size of {Acknowledge confirmation} sent (avg) ;31.0;
Global Max size of {Acknowledge confirmation} sent (stddev) ;0.0;
Global Max size of {Acknowledge confirmation} sent (min) ;31;
Global Max size of {Acknowledge confirmation} sent (max) ;31;
Nb of {Acknowledge confirmation} sent (avg) ;30.0;
Nb of {Acknowledge confirmation} sent (stddev) ;0.0;
Nb of {Acknowledge confirmation} sent (min) ;30;
Nb of {Acknowledge confirmation} sent (max) ;30;
Total size of {Acknowledge confirmation} sent (avg) ;755.0;
Total size of {Acknowledge confirmation} sent (stddev) ;0.0;
Total size of {Acknowledge confirmation} sent (min) ;755;
Total size of {Acknowledge confirmation} sent (max) ;755;
Global Max size of {Acknowledge} sent (avg) ;2.0;
Global Max size of {Acknowledge} sent (stddev) ;0.0;
Global Max size of {Acknowledge} sent (min) ;2;
Global Max size of {Acknowledge} sent (max) ;2;
Nb of {Acknowledge} sent (avg) ;9.0;
Nb of {Acknowledge} sent (stddev) ;0.0;
Nb of {Acknowledge} sent (min) ;9;
Nb of {Acknowledge} sent (max) ;9;
Total size of {Acknowledge} sent (avg) ;23.0;
Total size of {Acknowledge} sent (stddev) ;0.0;
Total size of {Acknowledge} sent (min) ;23;
Total size of {Acknowledge} sent (max) ;23;
Global Max size of {Confirm context} sent (avg) ;27.0;
Global Max size of {Confirm context} sent (stddev) ;0.0;
Global Max size of {Confirm context} sent (min) ;27;
Global Max size of {Confirm context} sent (max) ;27;
Nb of {Confirm context} sent (avg) ;30.0;
Nb of {Confirm context} sent (stddev) ;0.0;
Nb of {Confirm context} sent (min) ;30;
Nb of {Confirm context} sent (max) ;30;
Total size of {Confirm context} sent (avg) ;635.0;
Total size of {Confirm context} sent (stddev) ;0.0;
Total size of {Confirm context} sent (min) ;635;
Total size of {Confirm context} sent (max) ;635;
Global Max size of {Completeness counter-example} sent (avg) ;25.0;
Global Max size of {Completeness counter-example} sent (stddev) ;0.0;
Global Max size of {Completeness counter-example} sent (min) ;25;
Global Max size of {Completeness counter-example} sent (max) ;25;
Nb of {Completeness counter-example} sent (avg) ;2.0;
Nb of {Completeness counter-example} sent (stddev) ;0.0;
Nb of {Completeness counter-example} sent (min) ;2;
Nb of {Completeness counter-example} sent (max) ;2;
Total size of {Completeness counter-example} sent (avg) ;170.0;
Total size of {Completeness counter-example} sent (stddev) ;0.0;
Total size of {Completeness counter-example} sent (min) ;170;
Total size of {Completeness counter-example} sent (max) ;170;
Global Max size of {Propose again} sent (avg) ;31.0;
Global Max size of {Propose again} sent (stddev) ;0.0;
Global Max size of {Propose again} sent (min) ;31;
Global Max size of {Propose again} sent (max) ;31;
Nb of {Propose again} sent (avg) ;4.0;
Nb of {Propose again} sent (stddev) ;0.0;
Nb of {Propose again} sent (min) ;4;
Nb of {Propose again} sent (max) ;4;
Total size of {Propose again} sent (avg) ;244.0;
Total size of {Propose again} sent (stddev) ;0.0;
Total size of {Propose again} sent (min) ;244;
Total size of {Propose again} sent (max) ;244;
Global Max size of {End of local conversation} sent (avg) ;10.0;
Global Max size of {End of local conversation} sent (stddev) ;0.0;
Global Max size of {End of local conversation} sent (min) ;10;
Global Max size of {End of local conversation} sent (max) ;10;
Nb of {End of local conversation} sent (avg) ;16.0;
Nb of {End of local conversation} sent (stddev) ;0.0;
Nb of {End of local conversation} sent (min) ;16;
Nb of {End of local conversation} sent (max) ;16;
Total size of {End of local conversation} sent (avg) ;160.0;
Total size of {End of local conversation} sent (stddev) ;0.0;
Total size of {End of local conversation} sent (min) ;160;
Total size of {End of local conversation} sent (max) ;160;
Global Max size of {New neighbour} received (avg) ;0.0;
Global Max size of {New neighbour} received (stddev) ;0.0;
Global Max size of {New neighbour} received (min) ;0;
Global Max size of {New neighbour} received (max) ;0;
Nb of {New neighbour} received (avg) ;16.0;
Nb of {New neighbour} received (stddev) ;0.0;
Nb of {New neighbour} received (min) ;16;
Nb of {New neighbour} received (max) ;16;
Total size of {New neighbour} received (avg) ;0.0;
Total size of {New neighbour} received (stddev) ;0.0;
Total size of {New neighbour} received (min) ;0;
Total size of {New neighbour} received (max) ;0;
Global Max size of {Start} received (avg) ;0.0;
Global Max size of {Start} received (stddev) ;0.0;
Global Max size of {Start} received (min) ;0;
Global Max size of {Start} received (max) ;0;
Nb of {Start} received (avg) ;8.0;
Nb of {Start} received (stddev) ;0.0;
Nb of {Start} received (min) ;8;
Nb of {Start} received (max) ;8;
Total size of {Start} received (avg) ;0.0;
Total size of {Start} received (stddev) ;0.0;
Total size of {Start} received (min) ;0;
Total size of {Start} received (max) ;0;
Global Max size of {Launch} received (avg) ;0.0;
Global Max size of {Launch} received (stddev) ;0.0;
Global Max size of {Launch} received (min) ;0;
Global Max size of {Launch} received (max) ;0;
Nb of {Launch} received (avg) ;-6.0;
Nb of {Launch} received (stddev) ;0.0;
Nb of {Launch} received (min) ;-6;
Nb of {Launch} received (max) ;0;
Total size of {Launch} received (avg) ;-7.0;
Total size of {Launch} received (stddev) ;0.0;
Total size of {Launch} received (min) ;-7;
Total size of {Launch} received (max) ;0;
Global Max size of {Accept Request} received (avg) ;10.0;
Global Max size of {Accept Request} received (stddev) ;0.0;
Global Max size of {Accept Request} received (min) ;10;
Global Max size of {Accept Request} received (max) ;10;
Nb of {Accept Request} received (avg) ;4.0;
Nb of {Accept Request} received (stddev) ;0.0;
Nb of {Accept Request} received (min) ;4;
Nb of {Accept Request} received (max) ;4;
Total size of {Accept Request} received (avg) ;76.0;
Total size of {Accept Request} received (stddev) ;0.0;
Total size of {Accept Request} received (min) ;76;
Total size of {Accept Request} received (max) ;76;
Global Max size of {Confirm context} received (avg) ;27.0;
Global Max size of {Confirm context} received (stddev) ;0.0;
Global Max size of {Confirm context} received (min) ;27;
Global Max size of {Confirm context} received (max) ;27;
Nb of {Confirm context} received (avg) ;30.0;
Nb of {Confirm context} received (stddev) ;0.0;
Nb of {Confirm context} received (min) ;30;
Nb of {Confirm context} received (max) ;30;
Total size of {Confirm context} received (avg) ;635.0;
Total size of {Confirm context} received (stddev) ;0.0;
Total size of {Confirm context} received (min) ;635;
Total size of {Confirm context} received (max) ;635;
Global Max size of {Deny} received (avg) ;29.0;
Global Max size of {Deny} received (stddev) ;0.0;
Global Max size of {Deny} received (min) ;29;
Global Max size of {Deny} received (max) ;29;
Nb of {Deny} received (avg) ;2.0;
Nb of {Deny} received (stddev) ;0.0;
Nb of {Deny} received (min) ;2;
Nb of {Deny} received (max) ;2;
Total size of {Deny} received (avg) ;198.0;
Total size of {Deny} received (stddev) ;0.0;
Total size of {Deny} received (min) ;198;
Total size of {Deny} received (max) ;198;
Global Max size of {Propose} received (avg) ;31.0;
Global Max size of {Propose} received (stddev) ;0.0;
Global Max size of {Propose} received (min) ;31;
Global Max size of {Propose} received (max) ;31;
Nb of {Propose} received (avg) ;22.0;
Nb of {Propose} received (stddev) ;0.0;
Nb of {Propose} received (min) ;22;
Nb of {Propose} received (max) ;22;
Total size of {Propose} received (avg) ;507.0;
Total size of {Propose} received (stddev) ;0.0;
Total size of {Propose} received (min) ;507;
Total size of {Propose} received (max) ;507;
Global Max size of {Acknowledge confirmation} received (avg) ;31.0;
Global Max size of {Acknowledge confirmation} received (stddev) ;0.0;
Global Max size of {Acknowledge confirmation} received (min) ;31;
Global Max size of {Acknowledge confirmation} received (max) ;31;
Nb of {Acknowledge confirmation} received (avg) ;30.0;
Nb of {Acknowledge confirmation} received (stddev) ;0.0;
Nb of {Acknowledge confirmation} received (min) ;30;
Nb of {Acknowledge confirmation} received (max) ;30;
Total size of {Acknowledge confirmation} received (avg) ;755.0;
Total size of {Acknowledge confirmation} received (stddev) ;0.0;
Total size of {Acknowledge confirmation} received (min) ;755;
Total size of {Acknowledge confirmation} received (max) ;755;
Global Max size of {Withdraw incomplete} received (avg) ;2.0;
Global Max size of {Withdraw incomplete} received (stddev) ;0.0;
Global Max size of {Withdraw incomplete} received (min) ;2;
Global Max size of {Withdraw incomplete} received (max) ;2;
Nb of {Withdraw incomplete} received (avg) ;2.0;
Nb of {Withdraw incomplete} received (stddev) ;0.0;
Nb of {Withdraw incomplete} received (min) ;2;
Nb of {Withdraw incomplete} received (max) ;2;
Total size of {Withdraw incomplete} received (avg) ;9.0;
Total size of {Withdraw incomplete} received (stddev) ;0.0;
Total size of {Withdraw incomplete} received (min) ;9;
Total size of {Withdraw incomplete} received (max) ;9;
Global Max size of {Ask other hypothesis} received (avg) ;25.0;
Global Max size of {Ask other hypothesis} received (stddev) ;0.0;
Global Max size of {Ask other hypothesis} received (min) ;25;
Global Max size of {Ask other hypothesis} received (max) ;25;
Nb of {Ask other hypothesis} received (avg) ;11.0;
Nb of {Ask other hypothesis} received (stddev) ;0.0;
Nb of {Ask other hypothesis} received (min) ;11;
Nb of {Ask other hypothesis} received (max) ;11;
Total size of {Ask other hypothesis} received (avg) ;210.0;
Total size of {Ask other hypothesis} received (stddev) ;0.0;
Total size of {Ask other hypothesis} received (min) ;210;
Total size of {Ask other hypothesis} received (max) ;210;
Global Max size of {Accept} received (avg) ;31.0;
Global Max size of {Accept} received (stddev) ;0.0;
Global Max size of {Accept} received (min) ;31;
Global Max size of {Accept} received (max) ;31;
Nb of {Accept} received (avg) ;4.0;
Nb of {Accept} received (stddev) ;0.0;
Nb of {Accept} received (min) ;4;
Nb of {Accept} received (max) ;4;
Total size of {Accept} received (avg) ;244.0;
Total size of {Accept} received (stddev) ;0.0;
Total size of {Accept} received (min) ;244;
Total size of {Accept} received (max) ;244;
Global Max size of {End of local conversation} received (avg) ;10.0;
Global Max size of {End of local conversation} received (stddev) ;0.0;
Global Max size of {End of local conversation} received (min) ;10;
Global Max size of {End of local conversation} received (max) ;10;
Nb of {End of local conversation} received (avg) ;16.0;
Nb of {End of local conversation} received (stddev) ;0.0;
Nb of {End of local conversation} received (min) ;16;
Nb of {End of local conversation} received (max) ;16;
Total size of {End of local conversation} received (avg) ;160.0;
Total size of {End of local conversation} received (stddev) ;0.0;
Total size of {End of local conversation} received (min) ;160;
Total size of {End of local conversation} received (max) ;160;
Global Max size of {Finish} received (avg) ;0.0;
Global Max size of {Finish} received (stddev) ;0.0;
Global Max size of {Finish} received (min) ;0;
Global Max size of {Finish} received (max) ;0;
Nb of {Finish} received (avg) ;8.0;
Nb of {Finish} received (stddev) ;0.0;
Nb of {Finish} received (min) ;8;
Nb of {Finish} received (max) ;8;
Total size of {Finish} received (avg) ;0.0;
Total size of {Finish} received (stddev) ;0.0;
Total size of {Finish} received (min) ;0;
Total size of {Finish} received (max) ;0;
