;v0.3.13e10_exEcai-3ag_ECAI-CL_Clique_3Summ
Nb of {End of local conversation} sent (stddev) ;0.0;
Nb of {End of local conversation} sent (min) ;14;
Nb of {End of local conversation} sent (max) ;14;
Total size of {End of local conversation} sent (avg) ;140.0;
Total size of {End of local conversation} sent (stddev) ;0.0;
Total size of {End of local conversation} sent (min) ;140;
Total size of {End of local conversation} sent (max) ;140;
Global Max size of {Deny} sent (avg) ;22.0;
Global Max size of {Deny} sent (stddev) ;0.0;
Global Max size of {Deny} sent (min) ;22;
Global Max size of {Deny} sent (max) ;22;
Nb of {Deny} sent (avg) ;5.0;
Nb of {Deny} sent (stddev) ;0.0;
Nb of {Deny} sent (min) ;5;
Nb of {Deny} sent (max) ;5;
Total size of {Deny} sent (avg) ;86.0;
Total size of {Deny} sent (stddev) ;0.0;
Total size of {Deny} sent (min) ;86;
Total size of {Deny} sent (max) ;86;
Global Max size of {Argue} sent (avg) ;20.0;
Global Max size of {Argue} sent (stddev) ;0.0;
Global Max size of {Argue} sent (min) ;20;
Global Max size of {Argue} sent (max) ;20;
Nb of {Argue} sent (avg) ;5.0;
Nb of {Argue} sent (stddev) ;0.0;
Nb of {Argue} sent (min) ;5;
Nb of {Argue} sent (max) ;5;
Total size of {Argue} sent (avg) ;92.0;
Total size of {Argue} sent (stddev) ;0.0;
Total size of {Argue} sent (min) ;92;
Total size of {Argue} sent (max) ;92;
Global Max size of {Accept Request} sent (avg) ;10.0;
Global Max size of {Accept Request} sent (stddev) ;0.0;
Global Max size of {Accept Request} sent (min) ;10;
Global Max size of {Accept Request} sent (max) ;10;
Nb of {Accept Request} sent (avg) ;7.0;
Nb of {Accept Request} sent (stddev) ;0.0;
Nb of {Accept Request} sent (min) ;7;
Nb of {Accept Request} sent (max) ;7;
Total size of {Accept Request} sent (avg) ;70.0;
Total size of {Accept Request} sent (stddev) ;0.0;
Total size of {Accept Request} sent (min) ;70;
Total size of {Accept Request} sent (max) ;70;
Global Max size of {Withdraw} sent (avg) ;2.0;
Global Max size of {Withdraw} sent (stddev) ;0.0;
Global Max size of {Withdraw} sent (min) ;2;
Global Max size of {Withdraw} sent (max) ;2;
Nb of {Withdraw} sent (avg) ;3.0;
Nb of {Withdraw} sent (stddev) ;0.0;
Nb of {Withdraw} sent (min) ;3;
Nb of {Withdraw} sent (max) ;3;
Total size of {Withdraw} sent (avg) ;6.0;
Total size of {Withdraw} sent (stddev) ;0.0;
Total size of {Withdraw} sent (min) ;6;
Total size of {Withdraw} sent (max) ;6;
Global Max size of {Ask other hypothesis} sent (avg) ;10.0;
Global Max size of {Ask other hypothesis} sent (stddev) ;0.0;
Global Max size of {Ask other hypothesis} sent (min) ;10;
Global Max size of {Ask other hypothesis} sent (max) ;10;
Nb of {Ask other hypothesis} sent (avg) ;2.0;
Nb of {Ask other hypothesis} sent (stddev) ;0.0;
Nb of {Ask other hypothesis} sent (min) ;2;
Nb of {Ask other hypothesis} sent (max) ;2;
Total size of {Ask other hypothesis} sent (avg) ;13.0;
Total size of {Ask other hypothesis} sent (stddev) ;0.0;
Total size of {Ask other hypothesis} sent (min) ;13;
Total size of {Ask other hypothesis} sent (max) ;13;
Global Max size of {New neighbour} received (avg) ;0.0;
Global Max size of {New neighbour} received (stddev) ;0.0;
Global Max size of {New neighbour} received (min) ;0;
Global Max size of {New neighbour} received (max) ;0;
Nb of {New neighbour} received (avg) ;6.0;
Nb of {New neighbour} received (stddev) ;0.0;
Nb of {New neighbour} received (min) ;6;
Nb of {New neighbour} received (max) ;6;
Total size of {New neighbour} received (avg) ;0.0;
Total size of {New neighbour} received (stddev) ;0.0;
Total size of {New neighbour} received (min) ;0;
Total size of {New neighbour} received (max) ;0;
Global Max size of {Start} received (avg) ;0.0;
Global Max size of {Start} received (stddev) ;0.0;
Global Max size of {Start} received (min) ;0;
Global Max size of {Start} received (max) ;0;
Nb of {Start} received (avg) ;3.0;
Nb of {Start} received (stddev) ;0.0;
Nb of {Start} received (min) ;3;
Nb of {Start} received (max) ;3;
Total size of {Start} received (avg) ;0.0;
Total size of {Start} received (stddev) ;0.0;
Total size of {Start} received (min) ;0;
Total size of {Start} received (max) ;0;
Global Max size of {Launch} received (avg) ;0.0;
Global Max size of {Launch} received (stddev) ;0.0;
Global Max size of {Launch} received (min) ;0;
Global Max size of {Launch} received (max) ;0;
Nb of {Launch} received (avg) ;-1.0;
Nb of {Launch} received (stddev) ;0.0;
Nb of {Launch} received (min) ;-1;
Nb of {Launch} received (max) ;0;
Total size of {Launch} received (avg) ;-2.0;
Total size of {Launch} received (stddev) ;0.0;
Total size of {Launch} received (min) ;-2;
Total size of {Launch} received (max) ;0;
Global Max size of {Accept Request} received (avg) ;10.0;
Global Max size of {Accept Request} received (stddev) ;0.0;
Global Max size of {Accept Request} received (min) ;10;
Global Max size of {Accept Request} received (max) ;10;
Nb of {Accept Request} received (avg) ;7.0;
Nb of {Accept Request} received (stddev) ;0.0;
Nb of {Accept Request} received (min) ;7;
Nb of {Accept Request} received (max) ;7;
Total size of {Accept Request} received (avg) ;70.0;
Total size of {Accept Request} received (stddev) ;0.0;
Total size of {Accept Request} received (min) ;70;
Total size of {Accept Request} received (max) ;70;
Global Max size of {Confirm context} received (avg) ;29.0;
Global Max size of {Confirm context} received (stddev) ;0.0;
Global Max size of {Confirm context} received (min) ;29;
Global Max size of {Confirm context} received (max) ;29;
Nb of {Confirm context} received (avg) ;16.0;
Nb of {Confirm context} received (stddev) ;0.0;
Nb of {Confirm context} received (min) ;16;
Nb of {Confirm context} received (max) ;16;
Total size of {Confirm context} received (avg) ;235.0;
Total size of {Confirm context} received (stddev) ;0.0;
Total size of {Confirm context} received (min) ;235;
Total size of {Confirm context} received (max) ;235;
Global Max size of {Deny} received (avg) ;22.0;
Global Max size of {Deny} received (stddev) ;0.0;
Global Max size of {Deny} received (min) ;22;
Global Max size of {Deny} received (max) ;22;
Nb of {Deny} received (avg) ;5.0;
Nb of {Deny} received (stddev) ;0.0;
Nb of {Deny} received (min) ;5;
Nb of {Deny} received (max) ;5;
Total size of {Deny} received (avg) ;86.0;
Total size of {Deny} received (stddev) ;0.0;
Total size of {Deny} received (min) ;86;
Total size of {Deny} received (max) ;86;
Global Max size of {Propose} received (avg) ;43.0;
Global Max size of {Propose} received (stddev) ;0.0;
Global Max size of {Propose} received (min) ;43;
Global Max size of {Propose} received (max) ;43;
Nb of {Propose} received (avg) ;17.0;
Nb of {Propose} received (stddev) ;0.0;
Nb of {Propose} received (min) ;17;
Nb of {Propose} received (max) ;17;
Total size of {Propose} received (avg) ;375.0;
Total size of {Propose} received (stddev) ;0.0;
Total size of {Propose} received (min) ;375;
Total size of {Propose} received (max) ;375;
Global Max size of {Acknowledge confirmation} received (avg) ;33.0;
Global Max size of {Acknowledge confirmation} received (stddev) ;0.0;
Global Max size of {Acknowledge confirmation} received (min) ;33;
Global Max size of {Acknowledge confirmation} received (max) ;33;
Nb of {Acknowledge confirmation} received (avg) ;15.0;
Nb of {Acknowledge confirmation} received (stddev) ;0.0;
Nb of {Acknowledge confirmation} received (min) ;15;
Nb of {Acknowledge confirmation} received (max) ;15;
Total size of {Acknowledge confirmation} received (avg) ;277.0;
Total size of {Acknowledge confirmation} received (stddev) ;0.0;
Total size of {Acknowledge confirmation} received (min) ;277;
Total size of {Acknowledge confirmation} received (max) ;277;
Global Max size of {Withdraw incomplete} received (avg) ;2.0;
Global Max size of {Withdraw incomplete} received (stddev) ;0.0;
Global Max size of {Withdraw incomplete} received (min) ;2;
Global Max size of {Withdraw incomplete} received (max) ;2;
Nb of {Withdraw incomplete} received (avg) ;0.0;
Nb of {Withdraw incomplete} received (stddev) ;0.0;
Nb of {Withdraw incomplete} received (min) ;0;
Nb of {Withdraw incomplete} received (max) ;0;
Total size of {Withdraw incomplete} received (avg) ;2.0;
Total size of {Withdraw incomplete} received (stddev) ;0.0;
Total size of {Withdraw incomplete} received (min) ;2;
Total size of {Withdraw incomplete} received (max) ;2;
Global Max size of {Argue} received (avg) ;20.0;
Global Max size of {Argue} received (stddev) ;0.0;
Global Max size of {Argue} received (min) ;20;
Global Max size of {Argue} received (max) ;20;
Nb of {Argue} received (avg) ;5.0;
Nb of {Argue} received (stddev) ;0.0;
Nb of {Argue} received (min) ;5;
Nb of {Argue} received (max) ;5;
Total size of {Argue} received (avg) ;92.0;
Total size of {Argue} received (stddev) ;0.0;
Total size of {Argue} received (min) ;92;
Total size of {Argue} received (max) ;92;
Global Max size of {End of local conversation} received (avg) ;10.0;
Global Max size of {End of local conversation} received (stddev) ;0.0;
Global Max size of {End of local conversation} received (min) ;10;
Global Max size of {End of local conversation} received (max) ;10;
Nb of {End of local conversation} received (avg) ;14.0;
Nb of {End of local conversation} received (stddev) ;0.0;
Nb of {End of local conversation} received (min) ;14;
Nb of {End of local conversation} received (max) ;14;
Total size of {End of local conversation} received (avg) ;140.0;
Total size of {End of local conversation} received (stddev) ;0.0;
Total size of {End of local conversation} received (min) ;140;
Total size of {End of local conversation} received (max) ;140;
Global Max size of {Check Context} received (avg) ;64.0;
Global Max size of {Check Context} received (stddev) ;0.0;
Global Max size of {Check Context} received (min) ;64;
Global Max size of {Check Context} received (max) ;64;
Nb of {Check Context} received (avg) ;3.0;
Nb of {Check Context} received (stddev) ;0.0;
Nb of {Check Context} received (min) ;3;
Nb of {Check Context} received (max) ;3;
Total size of {Check Context} received (avg) ;138.0;
Total size of {Check Context} received (stddev) ;0.0;
Total size of {Check Context} received (min) ;138;
Total size of {Check Context} received (max) ;138;
Global Max size of {Has Better Hyp} received (avg) ;22.0;
Global Max size of {Has Better Hyp} received (stddev) ;0.0;
Global Max size of {Has Better Hyp} received (min) ;22;
Global Max size of {Has Better Hyp} received (max) ;22;
Nb of {Has Better Hyp} received (avg) ;-1.0;
Nb of {Has Better Hyp} received (stddev) ;0.0;
Nb of {Has Better Hyp} received (min) ;-1;
Nb of {Has Better Hyp} received (max) ;0;
Total size of {Has Better Hyp} received (avg) ;20.0;
Total size of {Has Better Hyp} received (stddev) ;0.0;
Total size of {Has Better Hyp} received (min) ;20;
Total size of {Has Better Hyp} received (max) ;20;
Global Max size of {Acknowledge} received (avg) ;2.0;
Global Max size of {Acknowledge} received (stddev) ;0.0;
Global Max size of {Acknowledge} received (min) ;2;
Global Max size of {Acknowledge} received (max) ;2;
Nb of {Acknowledge} received (avg) ;11.0;
Nb of {Acknowledge} received (stddev) ;0.0;
Nb of {Acknowledge} received (min) ;11;
Nb of {Acknowledge} received (max) ;11;
Total size of {Acknowledge} received (avg) ;22.0;
Total size of {Acknowledge} received (stddev) ;0.0;
Total size of {Acknowledge} received (min) ;22;
Total size of {Acknowledge} received (max) ;22;
Global Max size of {Completeness counter-example} received (avg) ;10.0;
Global Max size of {Completeness counter-example} received (stddev) ;0.0;
Global Max size of {Completeness counter-example} received (min) ;10;
Global Max size of {Completeness counter-example} received (max) ;10;
Nb of {Completeness counter-example} received (avg) ;7.0;
Nb of {Completeness counter-example} received (stddev) ;0.0;
Nb of {Completeness counter-example} received (min) ;7;
Nb of {Completeness counter-example} received (max) ;7;
Total size of {Completeness counter-example} received (avg) ;70.0;
Total size of {Completeness counter-example} received (stddev) ;0.0;
Total size of {Completeness counter-example} received (min) ;70;
Total size of {Completeness counter-example} received (max) ;70;
Global Max size of {Accept} received (avg) ;33.0;
Global Max size of {Accept} received (stddev) ;0.0;
Global Max size of {Accept} received (min) ;33;
Global Max size of {Accept} received (max) ;33;
Nb of {Accept} received (avg) ;7.0;
Nb of {Accept} received (stddev) ;0.0;
Nb of {Accept} received (min) ;7;
Nb of {Accept} received (max) ;7;
Total size of {Accept} received (avg) ;153.0;
Total size of {Accept} received (stddev) ;0.0;
Total size of {Accept} received (min) ;153;
Total size of {Accept} received (max) ;153;
Global Max size of {Request} received (avg) ;18.0;
Global Max size of {Request} received (stddev) ;0.0;
Global Max size of {Request} received (min) ;18;
Global Max size of {Request} received (max) ;18;
Nb of {Request} received (avg) ;7.0;
Nb of {Request} received (stddev) ;0.0;
Nb of {Request} received (min) ;7;
Nb of {Request} received (max) ;7;
Total size of {Request} received (avg) ;126.0;
Total size of {Request} received (stddev) ;0.0;
Total size of {Request} received (min) ;126;
Total size of {Request} received (max) ;126;
Global Max size of {Coherence counter-example} received (avg) ;2.0;
Global Max size of {Coherence counter-example} received (stddev) ;0.0;
Global Max size of {Coherence counter-example} received (min) ;2;
Global Max size of {Coherence counter-example} received (max) ;2;
Nb of {Coherence counter-example} received (avg) ;3.0;
Nb of {Coherence counter-example} received (stddev) ;0.0;
Nb of {Coherence counter-example} received (min) ;3;
Nb of {Coherence counter-example} received (max) ;3;
Total size of {Coherence counter-example} received (avg) ;6.0;
Total size of {Coherence counter-example} received (stddev) ;0.0;
Total size of {Coherence counter-example} received (min) ;6;
Total size of {Coherence counter-example} received (max) ;6;
Global Max size of {Propose again} received (avg) ;24.0;
Global Max size of {Propose again} received (stddev) ;0.0;
Global Max size of {Propose again} received (min) ;24;
Global Max size of {Propose again} received (max) ;24;
Nb of {Propose again} received (avg) ;1.0;
Nb of {Propose again} received (stddev) ;0.0;
Nb of {Propose again} received (min) ;1;
Nb of {Propose again} received (max) ;1;
Total size of {Propose again} received (avg) ;39.0;
Total size of {Propose again} received (stddev) ;0.0;
Total size of {Propose again} received (min) ;39;
Total size of {Propose again} received (max) ;39;
Global Max size of {Finish} received (avg) ;0.0;
Global Max size of {Finish} received (stddev) ;0.0;
Global Max size of {Finish} received (min) ;0;
Global Max size of {Finish} received (max) ;0;
Nb of {Finish} received (avg) ;3.0;
Nb of {Finish} received (stddev) ;0.0;
Nb of {Finish} received (min) ;3;
Nb of {Finish} received (max) ;3;
Total size of {Finish} received (avg) ;0.0;
Total size of {Finish} received (stddev) ;0.0;
Total size of {Finish} received (min) ;0;
Total size of {Finish} received (max) ;0;
