infile,outfile,method,timeout,var,csq,max CPU time by SOLAR,min consequences sent,nbAg+,root-extensions,min CPU time by SOLAR,distrib,min total size messages,inferences,min extensions,max inferences,nbConsequencesFound,root-CPU time by SOLAR,nb Messages,root-total size messages,max total size messages,max nb Messages,CPU time by SOLAR,max extensions,max clauses sents,consequences sent,method,root-clauses sents,min nb Messages,root-consequences sent,root-nb Messages,min clauses sents,root-inferences,total time,root,clauses sents,max consequences sent,min inferences,extensions,problem,total size messages
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-2_ld-1--1,SOLAR-Inc-Carc,1200000,_max-2_ld-1--1,Problems/Bio/glucolysis_max-2_ld-1--1_MONO,23468,0,1,8193161,23468,Mono,0,19924389,8193161,19924389,2,23468,0,0,0,0,23468,8193161,0,0,SOLAR-Inc-Carc,0,0,0,0,0,19924389,30803,0,0,0,19924389,8193161,Problems/Bio/glucolysis_max-2_ld-1--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-4_ld2--1,SOLAR-Inc-Carc,1200000,_max-4_ld2--1,Problems/Bio/glucolysis_max-4_ld2--1_MONO,69052,0,1,27151841,69052,Mono,0,66070131,27151841,66070131,3,69052,0,0,0,0,69052,27151841,0,0,SOLAR-Inc-Carc,0,0,0,0,0,66070131,79863,0,0,0,66070131,27151841,Problems/Bio/glucolysis_max-4_ld2--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-4_ld-1--1,SOLAR-Inc-Carc,1200000,_max-4_ld-1--1,Problems/Bio/glucolysis_max-4_ld-1--1_MONO,78855,0,1,27151841,78855,Mono,0,66070131,27151841,66070131,3,78855,0,0,0,0,78855,27151841,0,0,SOLAR-Inc-Carc,0,0,0,0,0,66070131,95432,0,0,0,66070131,27151841,Problems/Bio/glucolysis_max-4_ld-1--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-6_ld-1--1,SOLAR-Inc-Carc,1200000,_max-6_ld-1--1,Problems/Bio/glucolysis_max-6_ld-1--1_MONO,141559,0,1,46676375,141559,Mono,0,114213219,46676375,114213219,6,141559,0,0,0,0,141559,46676375,0,0,SOLAR-Inc-Carc,0,0,0,0,0,114213219,170223,0,0,0,114213219,46676375,Problems/Bio/glucolysis_max-6_ld-1--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-4_ld-1--1,SOLAR-Inc-Carc,1200000,_min-4_ld-1--1,Problems/Bio/glucolysis_min-4_ld-1--1_MONO,160807,0,1,46676651,160807,Mono,0,115388399,46676651,115388399,4,160807,0,0,0,0,160807,46676651,0,0,SOLAR-Inc-Carc,0,0,0,0,0,115388399,181590,0,0,0,115388399,46676651,Problems/Bio/glucolysis_min-4_ld-1--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-5_ld2--1,SOLAR-Inc-Carc,1200000,_max-5_ld2--1,Problems/Bio/glucolysis_max-5_ld2--1_MONO,116844,0,1,34567239,116844,Mono,0,84459082,34567239,84459082,4,116844,0,0,0,0,116844,34567239,0,0,SOLAR-Inc-Carc,0,0,0,0,0,84459082,132534,0,0,0,84459082,34567239,Problems/Bio/glucolysis_max-5_ld2--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-5_ld2--1,SOLAR-Inc-Carc,1200000,_min-5_ld2--1,Problems/Bio/glucolysis_min-5_ld2--1_MONO,177547,0,1,63055881,177547,Mono,0,156513286,63055881,156513286,5,177547,0,0,0,0,177547,63055881,0,0,SOLAR-Inc-Carc,0,0,0,0,0,156513286,222611,0,0,0,156513286,63055881,Problems/Bio/glucolysis_min-5_ld2--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-5_ld-1--1,SOLAR-Inc-Carc,1200000,_max-5_ld-1--1,Problems/Bio/glucolysis_max-5_ld-1--1_MONO,111192,0,1,34567239,111192,Mono,0,84459082,34567239,84459082,4,111192,0,0,0,0,111192,34567239,0,0,SOLAR-Inc-Carc,0,0,0,0,0,84459082,124800,0,0,0,84459082,34567239,Problems/Bio/glucolysis_max-5_ld-1--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-8_ld2--1,SOLAR-Inc-Carc,1200000,_max-8_ld2--1,Problems/Bio/glucolysis_max-8_ld2--1_MONO,355261,0,1,94400563,355261,Mono,0,236823510,94400563,236823510,16,355261,0,0,0,0,355261,94400563,0,0,SOLAR-Inc-Carc,0,0,0,0,0,236823510,391757,0,0,0,236823510,94400563,Problems/Bio/glucolysis_max-8_ld2--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-6_ld2--1,SOLAR-Inc-Carc,1200000,_max-6_ld2--1,Problems/Bio/glucolysis_max-6_ld2--1_MONO,175988,0,1,46676375,175988,Mono,0,114213219,46676375,114213219,6,175988,0,0,0,0,175988,46676375,0,0,SOLAR-Inc-Carc,0,0,0,0,0,114213219,187532,0,0,0,114213219,46676375,Problems/Bio/glucolysis_max-6_ld2--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-5_ld-1--1,SOLAR-Inc-Carc,1200000,_min-5_ld-1--1,Problems/Bio/glucolysis_min-5_ld-1--1_MONO,195034,0,1,63055881,195034,Mono,0,156513286,63055881,156513286,5,195034,0,0,0,0,195034,63055881,0,0,SOLAR-Inc-Carc,0,0,0,0,0,156513286,242850,0,0,0,156513286,63055881,Problems/Bio/glucolysis_min-5_ld-1--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-8_ld-1--1,SOLAR-Inc-Carc,1200000,_min-8_ld-1--1,Problems/Bio/glucolysis_min-8_ld-1--1_MONO,471067,0,1,146307405,471067,Mono,0,366854823,146307405,366854823,8,471067,0,0,0,0,471067,146307405,0,0,SOLAR-Inc-Carc,0,0,0,0,0,366854823,563837,0,0,0,366854823,146307405,Problems/Bio/glucolysis_min-8_ld-1--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-8_ld-1--1,SOLAR-Inc-Carc,1200000,_max-8_ld-1--1,Problems/Bio/glucolysis_max-8_ld-1--1_MONO,350845,0,1,94400563,350845,Mono,0,236823510,94400563,236823510,16,350845,0,0,0,0,350845,94400563,0,0,SOLAR-Inc-Carc,0,0,0,0,0,236823510,423750,0,0,0,236823510,94400563,Problems/Bio/glucolysis_max-8_ld-1--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-6_ld2--1,SOLAR-Inc-Carc,1200000,_min-6_ld2--1,Problems/Bio/glucolysis_min-6_ld2--1_MONO,289165,0,1,84576372,289165,Mono,0,210604370,84576372,210604370,6,289165,0,0,0,0,289165,84576372,0,0,SOLAR-Inc-Carc,0,0,0,0,0,210604370,377770,0,0,0,210604370,84576372,Problems/Bio/glucolysis_min-6_ld2--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-2_ld2--1,SOLAR-Inc-Carc,1200000,_min-2_ld2--1,Problems/Bio/glucolysis_min-2_ld2--1_MONO,87118,0,1,22419059,87118,Mono,0,54801526,22419059,54801526,2,87118,0,0,0,0,87118,22419059,0,0,SOLAR-Inc-Carc,0,0,0,0,0,54801526,128800,0,0,0,54801526,22419059,Problems/Bio/glucolysis_min-2_ld2--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-6_ld-1--1,SOLAR-Inc-Carc,1200000,_min-6_ld-1--1,Problems/Bio/glucolysis_min-6_ld-1--1_MONO,286828,0,1,84576372,286828,Mono,0,210604370,84576372,210604370,6,286828,0,0,0,0,286828,84576372,0,0,SOLAR-Inc-Carc,0,0,0,0,0,210604370,413561,0,0,0,210604370,84576372,Problems/Bio/glucolysis_min-6_ld-1--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-5_ld3--1,SOLAR-Inc-Carc,1200000,_max-5_ld3--1,Problems/Bio/glucolysis_max-5_ld3--1_MONO,116083,0,1,34567239,116083,Mono,0,84459082,34567239,84459082,4,116083,0,0,0,0,116083,34567239,0,0,SOLAR-Inc-Carc,0,0,0,0,0,84459082,152914,0,0,0,84459082,34567239,Problems/Bio/glucolysis_max-5_ld3--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-4_ld2--1,SOLAR-Inc-Carc,1200000,_min-4_ld2--1,Problems/Bio/glucolysis_min-4_ld2--1_MONO,170345,0,1,46676651,170345,Mono,0,115388399,46676651,115388399,4,170345,0,0,0,0,170345,46676651,0,0,SOLAR-Inc-Carc,0,0,0,0,0,115388399,207112,0,0,0,115388399,46676651,Problems/Bio/glucolysis_min-4_ld2--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-6_ld3--1,SOLAR-Inc-Carc,1200000,_max-6_ld3--1,Problems/Bio/glucolysis_max-6_ld3--1_MONO,183284,0,1,46676375,183284,Mono,0,114213219,46676375,114213219,6,183284,0,0,0,0,183284,46676375,0,0,SOLAR-Inc-Carc,0,0,0,0,0,114213219,210648,0,0,0,114213219,46676375,Problems/Bio/glucolysis_max-6_ld3--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-8_ld2--1,SOLAR-Inc-Carc,1200000,_min-8_ld2--1,Problems/Bio/glucolysis_min-8_ld2--1_MONO,541654,0,1,146307405,541654,Mono,0,366854823,146307405,366854823,8,541654,0,0,0,0,541654,146307405,0,0,SOLAR-Inc-Carc,0,0,0,0,0,366854823,657424,0,0,0,366854823,146307405,Problems/Bio/glucolysis_min-8_ld2--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-2_ld3--1,SOLAR-Inc-Carc,1200000,_min-2_ld3--1,Problems/Bio/glucolysis_min-2_ld3--1_MONO,87344,0,1,22419059,87344,Mono,0,54801526,22419059,54801526,2,87344,0,0,0,0,87344,22419059,0,0,SOLAR-Inc-Carc,0,0,0,0,0,54801526,94022,0,0,0,54801526,22419059,Problems/Bio/glucolysis_min-2_ld3--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-2_ld-1--1,SOLAR-Inc-Carc,1200000,_min-2_ld-1--1,Problems/Bio/glucolysis_min-2_ld-1--1_MONO,86559,0,1,22419059,86559,Mono,0,54801526,22419059,54801526,2,86559,0,0,0,0,86559,22419059,0,0,SOLAR-Inc-Carc,0,0,0,0,0,54801526,95397,0,0,0,54801526,22419059,Problems/Bio/glucolysis_min-2_ld-1--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-4_ld3--1,SOLAR-Inc-Carc,1200000,_min-4_ld3--1,Problems/Bio/glucolysis_min-4_ld3--1_MONO,164017,0,1,46676651,164017,Mono,0,115388399,46676651,115388399,4,164017,0,0,0,0,164017,46676651,0,0,SOLAR-Inc-Carc,0,0,0,0,0,115388399,182692,0,0,0,115388399,46676651,Problems/Bio/glucolysis_min-4_ld3--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-8_ld3--1,SOLAR-Inc-Carc,1200000,_max-8_ld3--1,Problems/Bio/glucolysis_max-8_ld3--1_MONO,401401,0,1,94400563,401401,Mono,0,236823510,94400563,236823510,16,401401,0,0,0,0,401401,94400563,0,0,SOLAR-Inc-Carc,0,0,0,0,0,236823510,472303,0,0,0,236823510,94400563,Problems/Bio/glucolysis_max-8_ld3--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-6_ld3--1,SOLAR-Inc-Carc,1200000,_min-6_ld3--1,Problems/Bio/glucolysis_min-6_ld3--1_MONO,312848,0,1,84576372,312848,Mono,0,210604370,84576372,210604370,6,312848,0,0,0,0,312848,84576372,0,0,SOLAR-Inc-Carc,0,0,0,0,0,210604370,427323,0,0,0,210604370,84576372,Problems/Bio/glucolysis_min-6_ld3--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-2_ld4--1,SOLAR-Inc-Carc,1200000,_max-2_ld4--1,Problems/Bio/glucolysis_max-2_ld4--1_MONO,31733,0,1,8193161,31733,Mono,0,19924389,8193161,19924389,2,31733,0,0,0,0,31733,8193161,0,0,SOLAR-Inc-Carc,0,0,0,0,0,19924389,62465,0,0,0,19924389,8193161,Problems/Bio/glucolysis_max-2_ld4--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-2_ld3--1,SOLAR-Inc-Carc,1200000,_max-2_ld3--1,Problems/Bio/glucolysis_max-2_ld3--1_MONO,32697,0,1,8193161,32697,Mono,0,19924389,8193161,19924389,2,32697,0,0,0,0,32697,8193161,0,0,SOLAR-Inc-Carc,0,0,0,0,0,19924389,38408,0,0,0,19924389,8193161,Problems/Bio/glucolysis_max-2_ld3--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-5_ld3--1,SOLAR-Inc-Carc,1200000,_min-5_ld3--1,Problems/Bio/glucolysis_min-5_ld3--1_MONO,227478,0,1,63055881,227478,Mono,0,156513286,63055881,156513286,5,227478,0,0,0,0,227478,63055881,0,0,SOLAR-Inc-Carc,0,0,0,0,0,156513286,260452,0,0,0,156513286,63055881,Problems/Bio/glucolysis_min-5_ld3--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-4_ld4--1,SOLAR-Inc-Carc,1200000,_max-4_ld4--1,Problems/Bio/glucolysis_max-4_ld4--1_MONO,112337,0,1,27151841,112337,Mono,0,66070131,27151841,66070131,3,112337,0,0,0,0,112337,27151841,0,0,SOLAR-Inc-Carc,0,0,0,0,0,66070131,140582,0,0,0,66070131,27151841,Problems/Bio/glucolysis_max-4_ld4--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-4_ld3--1,SOLAR-Inc-Carc,1200000,_max-4_ld3--1,Problems/Bio/glucolysis_max-4_ld3--1_MONO,108279,0,1,27151841,108279,Mono,0,66070131,27151841,66070131,3,108279,0,0,0,0,108279,27151841,0,0,SOLAR-Inc-Carc,0,0,0,0,0,66070131,137615,0,0,0,66070131,27151841,Problems/Bio/glucolysis_max-4_ld3--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-6_ld4--1,SOLAR-Inc-Carc,1200000,_max-6_ld4--1,Problems/Bio/glucolysis_max-6_ld4--1_MONO,195759,0,1,46676375,195759,Mono,0,114213219,46676375,114213219,6,195759,0,0,0,0,195759,46676375,0,0,SOLAR-Inc-Carc,0,0,0,0,0,114213219,218698,0,0,0,114213219,46676375,Problems/Bio/glucolysis_max-6_ld4--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-5_ld4--1,SOLAR-Inc-Carc,1200000,_max-5_ld4--1,Problems/Bio/glucolysis_max-5_ld4--1_MONO,136035,0,1,34567239,136035,Mono,0,84459082,34567239,84459082,4,136035,0,0,0,0,136035,34567239,0,0,SOLAR-Inc-Carc,0,0,0,0,0,84459082,174362,0,0,0,84459082,34567239,Problems/Bio/glucolysis_max-5_ld4--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-4_ld4--1,SOLAR-Inc-Carc,1200000,_min-4_ld4--1,Problems/Bio/glucolysis_min-4_ld4--1_MONO,169119,0,1,46676651,169119,Mono,0,115388399,46676651,115388399,4,169119,0,0,0,0,169119,46676651,0,0,SOLAR-Inc-Carc,0,0,0,0,0,115388399,184320,0,0,0,115388399,46676651,Problems/Bio/glucolysis_min-4_ld4--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-2_ld2--1,SOLAR-Inc-Carc,1200000,_max-2_ld2--1,Problems/Bio/glucolysis_max-2_ld2--1_MONO,32040,0,1,8193161,32040,Mono,0,19924389,8193161,19924389,2,32040,0,0,0,0,32040,8193161,0,0,SOLAR-Inc-Carc,0,0,0,0,0,19924389,49803,0,0,0,19924389,8193161,Problems/Bio/glucolysis_max-2_ld2--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-4_ld5--1,SOLAR-Inc-Carc,1200000,_max-4_ld5--1,Problems/Bio/glucolysis_max-4_ld5--1_MONO,106502,0,1,27151841,106502,Mono,0,66070131,27151841,66070131,3,106502,0,0,0,0,106502,27151841,0,0,SOLAR-Inc-Carc,0,0,0,0,0,66070131,172591,0,0,0,66070131,27151841,Problems/Bio/glucolysis_max-4_ld5--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-5_ld4--1,SOLAR-Inc-Carc,1200000,_min-5_ld4--1,Problems/Bio/glucolysis_min-5_ld4--1_MONO,227914,0,1,63055881,227914,Mono,0,156513286,63055881,156513286,5,227914,0,0,0,0,227914,63055881,0,0,SOLAR-Inc-Carc,0,0,0,0,0,156513286,266872,0,0,0,156513286,63055881,Problems/Bio/glucolysis_min-5_ld4--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-8_ld4--1,SOLAR-Inc-Carc,1200000,_max-8_ld4--1,Problems/Bio/glucolysis_max-8_ld4--1_MONO,400905,0,1,94400563,400905,Mono,0,236823510,94400563,236823510,16,400905,0,0,0,0,400905,94400563,0,0,SOLAR-Inc-Carc,0,0,0,0,0,236823510,481562,0,0,0,236823510,94400563,Problems/Bio/glucolysis_max-8_ld4--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-5_ld5--1,SOLAR-Inc-Carc,1200000,_max-5_ld5--1,Problems/Bio/glucolysis_max-5_ld5--1_MONO,133763,0,1,34567239,133763,Mono,0,84459082,34567239,84459082,4,133763,0,0,0,0,133763,34567239,0,0,SOLAR-Inc-Carc,0,0,0,0,0,84459082,156744,0,0,0,84459082,34567239,Problems/Bio/glucolysis_max-5_ld5--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-6_ld4--1,SOLAR-Inc-Carc,1200000,_min-6_ld4--1,Problems/Bio/glucolysis_min-6_ld4--1_MONO,313692,0,1,84576372,313692,Mono,0,210604370,84576372,210604370,6,313692,0,0,0,0,313692,84576372,0,0,SOLAR-Inc-Carc,0,0,0,0,0,210604370,347501,0,0,0,210604370,84576372,Problems/Bio/glucolysis_min-6_ld4--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-6_ld5--1,SOLAR-Inc-Carc,1200000,_max-6_ld5--1,Problems/Bio/glucolysis_max-6_ld5--1_MONO,196003,0,1,46676375,196003,Mono,0,114213219,46676375,114213219,6,196003,0,0,0,0,196003,46676375,0,0,SOLAR-Inc-Carc,0,0,0,0,0,114213219,218770,0,0,0,114213219,46676375,Problems/Bio/glucolysis_max-6_ld5--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-8_ld5--1,SOLAR-Inc-Carc,1200000,_max-8_ld5--1,Problems/Bio/glucolysis_max-8_ld5--1_MONO,420719,0,1,94400563,420719,Mono,0,236823510,94400563,236823510,16,420719,0,0,0,0,420719,94400563,0,0,SOLAR-Inc-Carc,0,0,0,0,0,236823510,467345,0,0,0,236823510,94400563,Problems/Bio/glucolysis_max-8_ld5--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-5_ld5--1,SOLAR-Inc-Carc,1200000,_min-5_ld5--1,Problems/Bio/glucolysis_min-5_ld5--1_MONO,236508,0,1,63055881,236508,Mono,0,156513286,63055881,156513286,5,236508,0,0,0,0,236508,63055881,0,0,SOLAR-Inc-Carc,0,0,0,0,0,156513286,377146,0,0,0,156513286,63055881,Problems/Bio/glucolysis_min-5_ld5--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-2_ld4--1,SOLAR-Inc-Carc,1200000,_min-2_ld4--1,Problems/Bio/glucolysis_min-2_ld4--1_MONO,75217,0,1,22419059,75217,Mono,0,54801526,22419059,54801526,2,75217,0,0,0,0,75217,22419059,0,0,SOLAR-Inc-Carc,0,0,0,0,0,54801526,80550,0,0,0,54801526,22419059,Problems/Bio/glucolysis_min-2_ld4--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-6_ld5--1,SOLAR-Inc-Carc,1200000,_min-6_ld5--1,Problems/Bio/glucolysis_min-6_ld5--1_MONO,290633,0,1,84576372,290633,Mono,0,210604370,84576372,210604370,6,290633,0,0,0,0,290633,84576372,0,0,SOLAR-Inc-Carc,0,0,0,0,0,210604370,336311,0,0,0,210604370,84576372,Problems/Bio/glucolysis_min-6_ld5--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-2_ld5--1,SOLAR-Inc-Carc,1200000,_min-2_ld5--1,Problems/Bio/glucolysis_min-2_ld5--1_MONO,86825,0,1,22419059,86825,Mono,0,54801526,22419059,54801526,2,86825,0,0,0,0,86825,22419059,0,0,SOLAR-Inc-Carc,0,0,0,0,0,54801526,89260,0,0,0,54801526,22419059,Problems/Bio/glucolysis_min-2_ld5--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-4_ld5--1,SOLAR-Inc-Carc,1200000,_min-4_ld5--1,Problems/Bio/glucolysis_min-4_ld5--1_MONO,166485,0,1,46676651,166485,Mono,0,115388399,46676651,115388399,4,166485,0,0,0,0,166485,46676651,0,0,SOLAR-Inc-Carc,0,0,0,0,0,115388399,183082,0,0,0,115388399,46676651,Problems/Bio/glucolysis_min-4_ld5--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-8_ld5--1,SOLAR-Inc-Carc,1200000,_min-8_ld5--1,Problems/Bio/glucolysis_min-8_ld5--1_MONO,560473,0,1,146307405,560473,Mono,0,366854823,146307405,366854823,8,560473,0,0,0,0,560473,146307405,0,0,SOLAR-Inc-Carc,0,0,0,0,0,366854823,585501,0,0,0,366854823,146307405,Problems/Bio/glucolysis_min-8_ld5--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-2_ld5--1,SOLAR-Inc-Carc,1200000,_max-2_ld5--1,Problems/Bio/glucolysis_max-2_ld5--1_MONO,31591,0,1,8193161,31591,Mono,0,19924389,8193161,19924389,2,31591,0,0,0,0,31591,8193161,0,0,SOLAR-Inc-Carc,0,0,0,0,0,19924389,33109,0,0,0,19924389,8193161,Problems/Bio/glucolysis_max-2_ld5--1,0
